Time Elapsed (s),Inbound Data (KB/s),Outbound Data (KB/s)
1,40.98,11.68
2,72.4,10.92
3,35.94,3.71
4,26.33,5.31
5,68.74,0.47
6,39.2,6.68
7,28.78,0.05
8,32.37,5.16
9,51.95,0.52
10,63.41,5.04
11,36.75,0.18
12,36.73,5.55
13,45.67,0.04
14,25.33,7.74
15,19.19,0.61
16,27.99,0.58
17,90.67,6.52
18,31.28,0.26
19,46.55,13.71
20,51.8,0.21
21,35.72,7.75
22,28.99,0.31
23,47.92,0.83
24,34.33,7.07
25,24.32,1.67
26,24.12,9.36
27,25.06,1.11
28,11.95,6.99
29,12.84,0.8
30,14.03,5.54
31,14.8,0.89
32,22.01,5.13
33,17.77,0.09
34,24.72,16.66
35,22.1,0.46
