elapsed_time,inbound_data,outbound_data
1,0.28,0.11
2,0.24,0.04
3,0.2,0.0
4,1.29,0.04
5,0.26,0.02
6,0.25,0.04
7,0.27,0.0
8,0.37,0.04
9,0.26,0.0
10,0.42,0.04
11,0.47,0.0
12,1.55,0.04
13,0.72,0.0
14,0.19,0.04
15,0.26,0.0
16,0.26,0.04
17,1.28,0.0
18,0.4,0.05
19,0.18,0.0
20,0.27,0.04
21,0.32,0.0
22,0.36,0.05
23,0.27,0.0
24,0.37,0.06
25,0.32,0.08
26,0.22,0.0
27,0.38,0.04
28,0.34,0.0
29,0.39,0.04
30,0.3,0.0
31,0.23,0.04
32,0.85,0.0
33,0.92,0.04
34,0.31,0.0
35,0.52,0.04
36,0.19,0.0
37,0.21,0.04
38,0.36,0.0
39,0.28,0.04
40,0.35,0.0
41,0.33,0.04
42,0.3,0.0
43,0.39,0.12
44,0.31,0.0
45,0.78,0.04
46,0.59,0.0
47,0.22,0.04
48,0.22,0.0
49,0.27,0.04
50,0.94,0.0
51,0.73,0.04
53,0.5,0.0
54,0.32,0.04
55,0.2,0.0
56,0.22,0.04
57,0.19,0.0
58,0.15,0.04
59,0.15,0.0
60,0.16,0.04
61,0.16,0.0
62,0.21,0.1
63,0.17,0.0
64,0.22,0.04
65,0.44,0.0
66,0.49,0.04
67,0.5,0.0
68,0.33,0.04
69,0.31,0.0
70,0.23,0.04
71,0.43,0.0
72,1.28,0.04
73,0.49,0.0
74,0.25,0.04
75,1.55,0.01
76,0.38,0.04
77,0.53,0.0
78,0.26,0.06
79,0.29,0.0
80,0.35,0.0
81,0.83,0.04
82,1.41,0.0
83,0.23,0.04
84,0.4,0.0
85,0.64,0.04
86,0.58,0.0
87,0.22,0.04
88,0.22,0.0
89,0.28,0.04
90,0.21,0.0
91,0.25,0.04
92,0.3,0.0
93,0.39,0.04
94,0.27,0.0
95,0.17,0.04
96,0.28,0.0
98,0.17,0.04
99,0.22,0.0
100,0.39,0.04
101,0.99,0.0
102,0.16,0.04
103,0.2,0.0
104,0.17,0.04
105,0.31,0.0
106,2.07,0.04
107,0.55,0.0
108,0.63,0.04
109,0.27,0.0
110,0.28,0.06
111,0.2,0.01
112,1.0,0.0
